#VENDING MACHINE SHOULD BE ABLE TO PROCESS THE FOLLOWING EVENTS
#LOADCHANGEEVENT,DENOMINATION,QUANTITY
LOADCHANGE,0.01,100
LOADCHANGE,0.05,100
LOADCHANGE,0.10,100
LOADCHANGE,0.25,100
#CONFIGUREITEMEVENT,ITEMNAME,PRICE
CONFIGUREITEMEVENT,COKE,1.00
CONFIGUREITEMEVENT,WATER,1.00
CONFIGUREITEMEVENT,SNICKERS,0.75
CONFIGUREITEMEVENT,SKITTLES,1.75
#LOADITEMEVENT,ITEMNAME,QUANTITY,SLOTLOCATION
LOADITEM,COKE,1,5
LOADITEM,WATER,3,0
LOADITEM,SNICKERS,20,4
LOADITEM,SKITTLES,3,2
LOADITEM,SNICKERS,2,5
#PRINTINVENTORYEVENT
#SHOULD PRINT TOTAL INVENTORY AND PRINT CHANGE LEFT
PRINTINVENTORY
#PURCHASEEVENT,SLOTLOCATION,QUANTITY,AMOUNTPAID
#SHOULD FIGURE OUT HOW MUCH CHANGE TO GIVE
PURCHASEEVENT,5,1,1.00
PURCHASEEVENT,0,3,3.25
PURCHASEEVENT,4,1,1.00
PURCHASEEVENT,0,1,1.00
PRINTINVENTORY
